customer_id,full_name,country,signup_date
1,omar koh  ,CN,2023-06-13
2,Mallory Mueller,tw,2021-08-20
3,OMAR RODRIGUEZ,in,2022-11-21
4,daniela yamamoto,dk,2019-11-30
5,yara kumar,GB,2021-06-30
6,  JUN TAN,us,2021-08-22
7,  yara huang ,france,2021-01-02
8,Zara Fischer,ID,2023-01-25
9,DANIELA FISCHER,indonesia,2020-08-16
10,Carol NGUYEN,US,2019-12-22
11,Eve Singh,USA,2019-11-26
12,  trent wang,JP,2021-11-24
13,Aisha MILLER,fr,2020-12-27
14,Bao TEO,DK,2022-03-06
15,  DAN FISCHER ,TW,2023-10-26
16,Aisha Ho  ,MY,2019-11-19
17,  Haruto MARTIN,MY,2021-08-09
18,Satoshi Khan,india,2021-04-22
19,  AISHA YAMAMOTO,China,2022-10-19
20,  Carol Wong ,JAPAN,2023-12-01
21,Frank Johnson,MY,2021-12-10
22,Kenji Teo  ,uk,2023-11-16
23,Uma Suzuki,FRANCE,2023-08-04
24,Tariq Yamamoto,FRANCE,2020-04-18
25,bao takahashi,gb,2021-09-16
26,Kiran Suzuki,id,2020-05-04
27,Ruth Wong,cn,2019-09-13
28,Bao Rodriguez  ,indonesia,2020-09-16
29,Daniela Dubois,indonesia,2023-04-18
30,  MALLORY NGUYEN ,thailand,2022-11-14
31,quentin johnson,JP,2021-02-10
32,victor koh,UK,2021-01-04
33,Sybil Lee, sg ,2022-04-24
34,  Kenji BROWN,jp,2023-10-16
35,  Devi BERNARD,gb,2019-04-28
36,arjun takahashi  ,US,2023-01-17
37,Kiran DAVIS,FR,2021-04-26
38,QUENTIN WILLIAMS,JP,2019-07-30
39,  uma dubois,id,2021-03-28
40,EVE BROWN,jp,2019-07-18
41,eve garcia,my,2022-05-17
42,  Carol LIM ,malaysia,2020-09-04
43,HARUTO NGUYEN,GB,2020-08-21
44,Wendy Adebayo,malaysia,2024-02-22
45,VICTOR CHEN  ,fr,2022-03-31
46,Leila Nguyen,my,2019-11-20
47,  KENJI RODRIGUEZ ,China,2024-03-06
48,  AISHA SATO,thailand,2022-09-27
49,Leila Williams,SG,2024-01-03
50,  priya sato ,JAPAN,2023-06-17
51,sybil wang  ,SINGAPORE,2020-05-11
52,Tariq OKAFOR,us,2023-09-20
53,SYBIL PEDERSEN,indonesia,2019-10-25
54,xander yamamoto,india,2023-07-11
55,MEI ZHANG,jp,2021-02-18
56,Judy JENSEN  ,my,2020-01-04
57,yara huang,france,2022-05-12
58,Alice JOHNSON,th,2022-08-21
59,peggy mueller,th,2019-05-06
60,URSULA MUELLER,TW,2021-09-11
61,yara wong,tw,2021-11-27
62,Aisha KUMAR  ,cn,2023-05-13
63,YUSUF HANSEN,IN,2021-12-26
64,Bao Williams, sg ,2019-07-08
65,Uma Williams  ,MY,2021-09-08
66,Chen Andersen,IN,2021-12-13
67,  kiran davis,ID,2020-08-07
68,satoshi martin,gb,2019-05-25
69,  Bao Jensen,SINGAPORE,2023-12-09
70,carol hansen  ,my,2022-04-30
71,Haruto Khan  ,my,2019-12-12
72,Chen KHAN,indonesia,2023-07-04
73,Yara Takahashi,IN,2023-05-14
74,GRACE WANG,china,2022-03-28
75,RAJESH LIU  ,GB,2023-01-17
76,Yusuf Tan,FR,2022-08-15
77,  DEVI BERNARD ,SG,2021-09-30
78,Dan ANDERSEN,malaysia,2022-07-28
